text,common,constraint,recommendation,direction
13.1 Water scarcity Population growth and increasing socioeconomic pressures have reduced the availability of freshwater resources in the arab region .,0,1,0,1
availability dropped from 921 m3 per capita per year in 2002 to 727 m3 per capita per year a decade later with 16 of 22 arab countries falling below the water scarcity level of 1 000 m3 per capita per year and able to withdraw on average only 292 m3 per capita per year in 2011 figure 13.1 .,1,0,0,2
almost 75 of the arab population live under the water scarcity level and nearly half lives under extreme water scarcity level of 500 m3 per capita per year .,1,0,0,1
The Arab region is pursuing efforts to respond to increased water scarcity drought climate variability and service deficiencies under changing and uncertain conditions to increase water storage in aquifers as a means to increase reserves and offset risks see WWaP 2015 Chapter 3 Case study sustainable water resources management in the Gulf Cooperation Council countries .,0,1,0,1
it has been unable to converge per capita GdP with developed countries and over 160 million people about 28 of its population still live in poverty .,1,0,0,2
it has been unable to converge per capita GdP with developed countries and over 160 million people about 28 of its population still live in poverty .,1,0,0,2
it has been unable to converge per capita GdP with developed countries and over 160 million people about 28 of its population still live in poverty .,1,0,0,2
it has been unable to converge per capita GdP with developed countries and over 160 million people about 28 of its population still live in poverty .,1,0,0,2
the widespread inability to establish effective formal and stable institutions to deal with water allocation and increasingly reallocation and pollution control issues is evidenced in many examples of poor management informality and lack of coordination WWaP 2012 .,0,1,0,1
which disproportionally affect rural areas and the poor Jouravlev 2011 .,1,0,0,2
to advance in the realization of these goals governments will have to focus public policies on Hantkedomas and Jouravlev 2011 i assigning high political priority to these services both in terms of budgetary allocations and development of stable and efficient institutions ii a gradual transition to selffinancing with tariff design that encourages resource use efficiency accompanied by the creation of effective subsidy systems for low income groups iii a more consolidated or aggregated industrial structure to take advantage of economies of scale and ensure technical and financial viability of service providers iv effective economic regulation with emphasis on access to information uniform accounting benchmarking and consumer participation v adjusting regulatory practices and utilities governance to their property structure so as to make them more transparent and responsive to regulatory incentives and vi closer integration of economic regulation and water and land management policies so as to ensure environmental sustainability of service provision .,0,0,1,2
WWDR 2015 global agreement in which rich and developing countries recognized that they share the responsibility to end poverty and its root causes .,1,0,0,1
WWDR 2015 global agreement in which rich and developing countries recognized that they share the responsibility to end poverty and its root causes .,1,0,0,1
Make cities and human settlements inclusive safe resilient and sustainable 11.5 by 2030 significantly reduce the number of deaths and the number of affected people and decrease by y the economic losses relative to GDP caused by disasters including waterrelated disasters with the focus on protecting the poor and people in vulnerable situations,1,0,0,2
Make cities and human settlements inclusive safe resilient and sustainable 11.5 by 2030 significantly reduce the number of deaths and the number of affected people and decrease by y the economic losses relative to GDP caused by disasters including waterrelated disasters with the focus on protecting the poor and people in vulnerable situations,1,0,0,2
Water management and decisions affecting water will play a key role in tackling the development challenges of the twentyfirst century including urbanization sustainable industrial development and economic growth eradicating persistent poverty ensuring food security responding to new patterns of consumption and conserving threatened ecosystems .,0,1,0,2
Pronounced disparities between regions rural and urban areas and socioeconomic groups are welldocumented WHo and uniCef 2014a .,1,0,0,1
Whereas poverty eradication and the reduction of inequities remain at the core of the concerns of the un system governments have obligations towards the of their citizens .,1,0,0,1
Population growth urbanization migration and industrialization along with increases in production and consumption have generated everincreasing demands for freshwater resources oil has induced additional competition for land and water even within the agricultural sector especially in regions already under water stress HlPe 2013 and has also been associated with increased food prices .,0,1,0,2
Population growth urbanization migration and industrialization along with increases in production and consumption have generated everincreasing demands for freshwater resources oil has induced additional competition for land and water even within the agricultural sector especially in regions already under water stress HlPe 2013 and has also been associated with increased food prices .,0,1,0,2
Comparatively powerless groups tend to be shut out of not just access to water but also the processes whereby allocation decisions are made critical for a range of food production activities including irrigation rearing of livestock aquaculture horticulture and other types of production in rural and certain urban areas .,1,0,0,1
Groundwater development has brought major socioeconomic benefits to rural communities and in many countries has helped to alleviate agrarian poverty through increasing food security .,1,0,0,1
Groundwater development has brought major socioeconomic benefits to rural communities and in many countries has helped to alleviate agrarian poverty through increasing food security .,1,0,0,1
Groundwater development has brought major socioeconomic benefits to rural communities and in many countries has helped to alleviate agrarian poverty through increasing food security .,1,0,0,2
Groundwater development has brought major socioeconomic benefits to rural communities and in many countries has helped to alleviate agrarian poverty through increasing food security .,1,0,0,2
in times of crises and with volatile markets ensuring a countrys food security or that a countrys population is fed becomes a primary concern for national decisionmakers .,1,0,0,2
in times of crises and with volatile markets ensuring a countrys food security or that a countrys population is fed becomes a primary concern for national decisionmakers .,1,0,0,1
there is also a challenge to collect data and improve understanding of interactions and feedbacks between the water cycle and other natural and human processes such as the carbon cycle population growth food production energy consumption and ecosystem services .,0,1,0,2
an increasing number of initiatives are now looking at opportunities to integrate water management with urban needs in energy green spaces and food security .,0,0,1,2
However if groundwater resources continue to be used beyond sustainable limits agricultural production which is the main source of income for the majority of the population in the region will be threatened .,0,1,0,1
achieving more efficient water use is crucial considering that production and consumption of agricultural products alone account for over 70 of water withdrawals in many developing countries undesa 2013b .,0,0,1,1
Water management and decisions affecting water will play a key role in tackling the development challenges of the twentyfirst century including urbanization sustainable industrial development and economic growth eradicating persistent poverty ensuring food security responding to new patterns of consumption and conserving threatened ecosystems .,0,1,0,2
2030 Water resources Group african Centre for economic transformation african development bank Group african Ministers Council on Water american society of Civil engineers african union best available techniques technology bundesanstalt fur Geowissenschaften und rohstoffe brazil russia india China and south africa brazil russia india indonesia China and south africa european union Common agricultural Policy Convention on biological diversity Centre for research on the epidemiology of disasters disabilityadjusted life years decentralized wastewater treatment systems department for internal development united Kingdom european agricultural fund for rural development ecosystembased management european Commission european Court of auditors economic Community of Central african states european environment agency eastern europe the Caucasus and Central asia environmental Protection agency european union food and agriculture organization of the united nations Gross domestic Product Global environment facility Greenhouse gas Global Water Partnership Human development index Human development report High level Panel of experts on food security and nutrition international Center for agricultural research in the dry areas international Council on Mining and Metals international Commission for the Protection of the danube river international Crops research institute for the semiaridtropics international energy agency international fund for agricultural development international Groundwater resources assessment Centre international Joint Commission Canada and united states intergovernmental Panel on Climate Change international Water and sanitation Centre international union for Conservation of nature integrated urban water management international Water Management institute integrated Water resources Management,1,0,0,1
2030 Water resources Group african Centre for economic transformation african development bank Group african Ministers Council on Water american society of Civil engineers african union best available techniques technology bundesanstalt fur Geowissenschaften und rohstoffe brazil russia india China and south africa brazil russia india indonesia China and south africa european union Common agricultural Policy Convention on biological diversity Centre for research on the epidemiology of disasters disabilityadjusted life years decentralized wastewater treatment systems department for internal development united Kingdom european agricultural fund for rural development ecosystembased management european Commission european Court of auditors economic Community of Central african states european environment agency eastern europe the Caucasus and Central asia environmental Protection agency european union food and agriculture organization of the united nations Gross domestic Product Global environment facility Greenhouse gas Global Water Partnership Human development index Human development report High level Panel of experts on food security and nutrition international Center for agricultural research in the dry areas international Council on Mining and Metals international Commission for the Protection of the danube river international Crops research institute for the semiaridtropics international energy agency international fund for agricultural development international Groundwater resources assessment Centre international Joint Commission Canada and united states intergovernmental Panel on Climate Change international Water and sanitation Centre international union for Conservation of nature integrated urban water management international Water Management institute integrated Water resources Management,1,0,0,1
2030 Water resources Group african Centre for economic transformation african development bank Group african Ministers Council on Water american society of Civil engineers african union best available techniques technology bundesanstalt fur Geowissenschaften und rohstoffe brazil russia india China and south africa brazil russia india indonesia China and south africa european union Common agricultural Policy Convention on biological diversity Centre for research on the epidemiology of disasters disabilityadjusted life years decentralized wastewater treatment systems department for internal development united Kingdom european agricultural fund for rural development ecosystembased management european Commission european Court of auditors economic Community of Central african states european environment agency eastern europe the Caucasus and Central asia environmental Protection agency european union food and agriculture organization of the united nations Gross domestic Product Global environment facility Greenhouse gas Global Water Partnership Human development index Human development report High level Panel of experts on food security and nutrition international Center for agricultural research in the dry areas international Council on Mining and Metals international Commission for the Protection of the danube river international Crops research institute for the semiaridtropics international energy agency international fund for agricultural development international Groundwater resources assessment Centre international Joint Commission Canada and united states intergovernmental Panel on Climate Change international Water and sanitation Centre international union for Conservation of nature integrated urban water management international Water Management institute integrated Water resources Management,1,0,0,1
2030 Water resources Group african Centre for economic transformation african development bank Group african Ministers Council on Water american society of Civil engineers african union best available techniques technology bundesanstalt fur Geowissenschaften und rohstoffe brazil russia india China and south africa brazil russia india indonesia China and south africa european union Common agricultural Policy Convention on biological diversity Centre for research on the epidemiology of disasters disabilityadjusted life years decentralized wastewater treatment systems department for internal development united Kingdom european agricultural fund for rural development ecosystembased management european Commission european Court of auditors economic Community of Central african states european environment agency eastern europe the Caucasus and Central asia environmental Protection agency european union food and agriculture organization of the united nations Gross domestic Product Global environment facility Greenhouse gas Global Water Partnership Human development index Human development report High level Panel of experts on food security and nutrition international Center for agricultural research in the dry areas international Council on Mining and Metals international Commission for the Protection of the danube river international Crops research institute for the semiaridtropics international energy agency international fund for agricultural development international Groundwater resources assessment Centre international Joint Commission Canada and united states intergovernmental Panel on Climate Change international Water and sanitation Centre international union for Conservation of nature integrated urban water management international Water Management institute integrated Water resources Management,1,0,0,1
2030 Water resources Group african Centre for economic transformation african development bank Group african Ministers Council on Water american society of Civil engineers african union best available techniques technology bundesanstalt fur Geowissenschaften und rohstoffe brazil russia india China and south africa brazil russia india indonesia China and south africa european union Common agricultural Policy Convention on biological diversity Centre for research on the epidemiology of disasters disabilityadjusted life years decentralized wastewater treatment systems department for internal development united Kingdom european agricultural fund for rural development ecosystembased management european Commission european Court of auditors economic Community of Central african states european environment agency eastern europe the Caucasus and Central asia environmental Protection agency european union food and agriculture organization of the united nations Gross domestic Product Global environment facility Greenhouse gas Global Water Partnership Human development index Human development report High level Panel of experts on food security and nutrition international Center for agricultural research in the dry areas international Council on Mining and Metals international Commission for the Protection of the danube river international Crops research institute for the semiaridtropics international energy agency international fund for agricultural development international Groundwater resources assessment Centre international Joint Commission Canada and united states intergovernmental Panel on Climate Change international Water and sanitation Centre international union for Conservation of nature integrated urban water management international Water Management institute integrated Water resources Management,1,0,0,1
2030 Water resources Group african Centre for economic transformation african development bank Group african Ministers Council on Water american society of Civil engineers african union best available techniques technology bundesanstalt fur Geowissenschaften und rohstoffe brazil russia india China and south africa brazil russia india indonesia China and south africa european union Common agricultural Policy Convention on biological diversity Centre for research on the epidemiology of disasters disabilityadjusted life years decentralized wastewater treatment systems department for internal development united Kingdom european agricultural fund for rural development ecosystembased management european Commission european Court of auditors economic Community of Central african states european environment agency eastern europe the Caucasus and Central asia environmental Protection agency european union food and agriculture organization of the united nations Gross domestic Product Global environment facility Greenhouse gas Global Water Partnership Human development index Human development report High level Panel of experts on food security and nutrition international Center for agricultural research in the dry areas international Council on Mining and Metals international Commission for the Protection of the danube river international Crops research institute for the semiaridtropics international energy agency international fund for agricultural development international Groundwater resources assessment Centre international Joint Commission Canada and united states intergovernmental Panel on Climate Change international Water and sanitation Centre international union for Conservation of nature integrated urban water management international Water Management institute integrated Water resources Management,1,0,0,1
the report illustrates the complex linkages between water and critical areas such as human health food and energy security urbanization industrial growth and climate change .,0,1,0,1
More than two decades after the first summit on sustainable development many countries still face the challenges of eliminating poverty and promoting economic growth ensuring health and sanitation preventing land degradation and pollution and advancing rural and urban development .,0,1,0,2
More than two decades after the first summit on sustainable development many countries still face the challenges of eliminating poverty and promoting economic growth ensuring health and sanitation preventing land degradation and pollution and advancing rural and urban development .,0,1,0,1
translating this vision into reality requires efforts by all through concrete and interrelated actions that go from establishing the legal and institutional framework to ensure sustainable water management and increasing investments and financial support for water development to enhancing and improving access to water supply sanitation and hygiene services .,0,0,1,2
Human health food and energy security urbanization and industrial growth as well as climate change are critical challenge areas where policies and actions at the core of sustainable development can be strengthened or weakened through water .,0,1,0,1
the increase in the number of people without access to water and sanitation in urban areas is directly related to the rapid growth of slum populations in the developing world and the inability or unwillingness of local and national governments to provide adequate water and sanitation facilities in these communities .,1,0,0,1
the increase in the number of people without access to water and sanitation in urban areas is directly related to the rapid growth of slum populations in the developing world and the inability or unwillingness of local and national governments to provide adequate water and sanitation facilities in these communities .,1,0,0,2
the increase in the number of people without access to water and sanitation in urban areas is directly related to the rapid growth of slum populations in the developing world and the inability or unwillingness of local and national governments to provide adequate water and sanitation facilities in these communities .,1,0,0,2
the increase in the number of people without access to water and sanitation in urban areas is directly related to the rapid growth of slum populations in the developing world and the inability or unwillingness of local and national governments to provide adequate water and sanitation facilities in these communities .,1,0,0,2
access to water sanitation and hygiene WasH has been made universal through the massive deployment of urban water infrastructure as well as through decentralized smallscale water purification technology in remote areas leading to widely improved health conditions and allowing a life of human dignity for all persons .,1,0,0,2
access to water sanitation and hygiene WasH has been made universal through the massive deployment of urban water infrastructure as well as through decentralized smallscale water purification technology in remote areas leading to widely improved health conditions and allowing a life of human dignity for all persons .,1,0,0,2
Human migration from rural to urban areas is posing a continuous challenge to the provision of basic drinking water and sanitation services especially in poor periurban and slum areas as well as to public health in particular to prevent outbreaks of cholera and other waterrelated diseases WHo and uniCef 2014a .,0,1,0,2
Human migration from rural to urban areas is posing a continuous challenge to the provision of basic drinking water and sanitation services especially in poor periurban and slum areas as well as to public health in particular to prevent outbreaks of cholera and other waterrelated diseases WHo and uniCef 2014a .,0,1,0,2
Human migration from rural to urban areas is posing a continuous challenge to the provision of basic drinking water and sanitation services especially in poor periurban and slum areas as well as to public health in particular to prevent outbreaks of cholera and other waterrelated diseases WHo and uniCef 2014a .,0,1,0,1
Human migration from rural to urban areas is posing a continuous challenge to the provision of basic drinking water and sanitation services especially in poor periurban and slum areas as well as to public health in particular to prevent outbreaks of cholera and other waterrelated diseases WHo and uniCef 2014a .,0,1,0,1
According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .,1,0,0,2
According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .,1,0,0,2
According to the Water Governance Facility WGF 2012 Most vulnerable in a world of greater water insecurity are poor people living in informal urban settlements and those in rural areas whose livelihoods are dependent upon rainfed agriculture or the availability of grasslands and water for grazing animals .,1,0,0,2
Transboundary collaboration for healthy ecosystems and community engagement,1,0,0,1
Water plays a vital role in various aspects and challenges related to sustainable development including human health food and energy security urbanization industrial growth and climate change .,0,1,0,1
lack of WasH takes a huge toll on health and wellbeing and comes at a large financial cost including a sizeable loss of economic activity in many countries not just least developed countries .,0,1,0,2
major cities and functionality of community sources and hygienic sanitation facilities not always assured .,1,0,0,1
major cities and functionality of community sources and hygienic sanitation facilities not always assured .,1,0,0,2
in addition to the clear risk to the health of communities where open defecation takes place the consequences for water and the environment are severe .,1,0,0,2
also due to higher population densities in urban 4 4 0 0 areas the health consequences of poor sanitation can be 1995 1995 pervasive .,1,0,0,1
also due to higher population densities in urban 4 4 0 0 areas the health consequences of poor sanitation can be 1995 1995 pervasive .,1,0,0,1
growth of slum populations in the developing world and the inability or unwillingness of local and national governments to provide adequate water and sanitation facilities in these communities .,1,0,0,1
growth of slum populations in the developing world and the inability or unwillingness of local and national governments to provide adequate water and sanitation facilities in these communities .,1,0,0,1
growth of slum populations in the developing world and the inability or unwillingness of local and national governments to provide adequate water and sanitation facilities in these communities .,1,0,0,2
it is estimated that up to 90 of all wastewater in developing countries is discharged untreated directly into rivers lakes or the oceans causing major environmental and health risks Corcoran et al .,1,0,0,2
Many cities in developing countries do not have the necessary infrastructure to collect and treat wastewater safe water sanitation and hygiene should stimulate action to address this critical issue .,1,0,0,1
The sum of these DALYs across the population or the burden of disease can be thought of as a measurement of the gap between current health status and an ideal health situation where the entire population lives to an advanced age free of disease and disability .,1,0,0,1
efforts to rehabilitate urban water resources include the increasing use of wastewater for periurban agriculture and for energy production .,1,0,0,1
there are a number of lessons to be learned from recent typhoons and the success stories of cyclone shelters and early warning systems in bangladesh india and the Philippines and from the development of strategic frameworks and revitalized institutional arrangements in river management Citarum river rehabilitation project in indonesia .,1,0,0,2
egypt Jordan lebanon Morocco oman and tunisia have also sought to rehabilitate irrigation canals terraces and traditional water networks to improve agricultural water use efficiency although flood irrigation remains dominant in many countries iCarda Gef ifad 2013 .,1,0,0,1
dozens of nuclearpowered desalination plants are expected to go online in arab countries over the next 20 years with saudi arabia alone expected to build up to 16 nuclear desalination facilities by 2030 Wna 2013 .,1,0,0,2
by october 2013 access to water supply services in syria had decreased by 70 on average since the beginning of the conflict and has continued to decline due to a breakdown in services this has resulted in a massive undertaking among WasH sector partners to distribute chlorine hygiene kits and generators throughout the country uniCef 2013 .,1,0,0,1
according to the WHo and uniCef Joint Monitoring Programme JMP for Water supply and sanitation out of the total arab population estimated at 355 million people in 2011 approximately 17 60 million people do not have access to improved drinking water sources while 20 71 million people do not have access to improved sanitation facilities unesCWa 2013b WHo and uniCef 2013 .,0,1,0,2
this population must be fed educated and kept healthy and productive .,1,0,0,2
from a social perspective there are obvious connections between access to safe and adequate quantities of water and health for drinking first but also for hygiene and sanitation at the household community and national levels see Chapter 5 .,1,0,0,1
from a social perspective there are obvious connections between access to safe and adequate quantities of water and health for drinking first but also for hygiene and sanitation at the household community and national levels see Chapter 5 .,1,0,0,1
- indicator 7.8 Proportion of population using an improved sanitation facility,1,0,0,1
the situation relates to the rapid growth of slums and the inability or unwillingness of local and national governments to provide adequate facilities for impoverished urban communities .,1,0,0,1
the situation relates to the rapid growth of slums and the inability or unwillingness of local and national governments to provide adequate facilities for impoverished urban communities .,1,0,0,1
the situation relates to the rapid growth of slums and the inability or unwillingness of local and national governments to provide adequate facilities for impoverished urban communities .,1,0,0,1
further having facilities in or nearer to the home is also important from a safety perspective as women and girls in particular may face harassment and violence when collecting water when using communal toilet facilities or when undertaking open defecation in the evenings .,1,0,0,1
2030 Water resources Group african Centre for economic transformation african development bank Group african Ministers Council on Water american society of Civil engineers african union best available techniques technology bundesanstalt fur Geowissenschaften und rohstoffe brazil russia india China and south africa brazil russia india indonesia China and south africa european union Common agricultural Policy Convention on biological diversity Centre for research on the epidemiology of disasters disabilityadjusted life years decentralized wastewater treatment systems department for internal development united Kingdom european agricultural fund for rural development ecosystembased management european Commission european Court of auditors economic Community of Central african states european environment agency eastern europe the Caucasus and Central asia environmental Protection agency european union food and agriculture organization of the united nations Gross domestic Product Global environment facility Greenhouse gas Global Water Partnership Human development index Human development report High level Panel of experts on food security and nutrition international Center for agricultural research in the dry areas international Council on Mining and Metals international Commission for the Protection of the danube river international Crops research institute for the semiaridtropics international energy agency international fund for agricultural development international Groundwater resources assessment Centre international Joint Commission Canada and united states intergovernmental Panel on Climate Change international Water and sanitation Centre international union for Conservation of nature integrated urban water management international Water Management institute integrated Water resources Management,1,0,0,1
