0,1,2
IIASA Global_Energy_Assessment_FullReport,responsible consumption and production,961
IIASA Global_Energy_Assessment_FullReport,climate action,309
IIASA Global_Energy_Assessment_FullReport,life below water,44
IIASA Global_Energy_Assessment_FullReport,life on land,118
IIASA Global_Energy_Assessment_FullReport,piece justice and strong institutions,558
IIASA Global_Energy_Assessment_FullReport,partnership for the goals,269
ILO World Social Protection Report 2014 2015,no poverty,147
ILO World Social Protection Report 2014 2015,zero hunger,9
ILO World Social Protection Report 2014 2015,good health and well beeing,198
ILO World Social Protection Report 2014 2015,quality education,110
ILO World Social Protection Report 2014 2015,gender equality,175
ILO World Social Protection Report 2014 2015,clean water and sanitation,2
ILO World Social Protection Report 2014 2015,affordable and clean energy,2
ILO World Social Protection Report 2014 2015,decent work and economic growth,357
ILO World Social Protection Report 2014 2015,industry innowation and infrastructure,174
ILO World Social Protection Report 2014 2015,reduced inequalities,30
ILO World Social Protection Report 2014 2015,responsible consumption and production,116
ILO World Social Protection Report 2014 2015,climate action,2
ILO World Social Protection Report 2014 2015,life below water,2
ILO World Social Protection Report 2014 2015,life on land,5
ILO World Social Protection Report 2014 2015,piece justice and strong institutions,109
ILO World Social Protection Report 2014 2015,partnership for the goals,50
IPCC AR 5 Adaptation WGIIAR5-TS_FINAL,no poverty,34
IPCC AR 5 Adaptation WGIIAR5-TS_FINAL,zero hunger,10
IPCC AR 5 Adaptation WGIIAR5-TS_FINAL,good health and well beeing,20
IPCC AR 5 Adaptation WGIIAR5-TS_FINAL,quality education,36
IPCC AR 5 Adaptation WGIIAR5-TS_FINAL,gender equality,6
IPCC AR 5 Adaptation WGIIAR5-TS_FINAL,clean water and sanitation,24
IPCC AR 5 Adaptation WGIIAR5-TS_FINAL,affordable and clean energy,12
IPCC AR 5 Adaptation WGIIAR5-TS_FINAL,decent work and economic growth,56
IPCC AR 5 Adaptation WGIIAR5-TS_FINAL,industry innowation and infrastructure,53
IPCC AR 5 Adaptation WGIIAR5-TS_FINAL,reduced inequalities,8
IPCC AR 5 Adaptation WGIIAR5-TS_FINAL,responsible consumption and production,31
IPCC AR 5 Adaptation WGIIAR5-TS_FINAL,climate action,60
IPCC AR 5 Adaptation WGIIAR5-TS_FINAL,life below water,9
IPCC AR 5 Adaptation WGIIAR5-TS_FINAL,life on land,13
IPCC AR 5 Adaptation WGIIAR5-TS_FINAL,piece justice and strong institutions,16
IPCC AR 5 Adaptation WGIIAR5-TS_FINAL,partnership for the goals,9
IPCC AR 5 mitigation ipcc_wg3_ar5_full,no poverty,237
IPCC AR 5 mitigation ipcc_wg3_ar5_full,zero hunger,33
IPCC AR 5 mitigation ipcc_wg3_ar5_full,good health and well beeing,93
IPCC AR 5 mitigation ipcc_wg3_ar5_full,quality education,1710
IPCC AR 5 mitigation ipcc_wg3_ar5_full,gender equality,13
IPCC AR 5 mitigation ipcc_wg3_ar5_full,clean water and sanitation,100
IPCC AR 5 mitigation ipcc_wg3_ar5_full,affordable and clean energy,687
IPCC AR 5 mitigation ipcc_wg3_ar5_full,decent work and economic growth,2326
IPCC AR 5 mitigation ipcc_wg3_ar5_full,industry innowation and infrastructure,2066
IPCC AR 5 mitigation ipcc_wg3_ar5_full,reduced inequalities,41
IPCC AR 5 mitigation ipcc_wg3_ar5_full,responsible consumption and production,603
IPCC AR 5 mitigation ipcc_wg3_ar5_full,climate action,1159
IPCC AR 5 mitigation ipcc_wg3_ar5_full,life below water,24
IPCC AR 5 mitigation ipcc_wg3_ar5_full,life on land,86
IPCC AR 5 mitigation ipcc_wg3_ar5_full,piece justice and strong institutions,510
IPCC AR 5 mitigation ipcc_wg3_ar5_full,partnership for the goals,235
ISDR GAR2013_EN,no poverty,62
ISDR GAR2013_EN,zero hunger,21
ISDR GAR2013_EN,good health and well beeing,20
ISDR GAR2013_EN,quality education,128
ISDR GAR2013_EN,gender equality,1
ISDR GAR2013_EN,clean water and sanitation,7
ISDR GAR2013_EN,affordable and clean energy,15
ISDR GAR2013_EN,decent work and economic growth,312
ISDR GAR2013_EN,industry innowation and infrastructure,317
ISDR GAR2013_EN,reduced inequalities,8
ISDR GAR2013_EN,responsible consumption and production,179
ISDR GAR2013_EN,climate action,30
ISDR GAR2013_EN,life below water,1
ISDR GAR2013_EN,life on land,32
ISDR GAR2013_EN,piece justice and strong institutions,110
ISDR GAR2013_EN,partnership for the goals,37
ISDR GAR2015_EN,no poverty,60
ISDR GAR2015_EN,zero hunger,6
ISDR GAR2015_EN,good health and well beeing,42
ISDR GAR2015_EN,quality education,232
ISDR GAR2015_EN,gender equality,9
ISDR GAR2015_EN,clean water and sanitation,21
ISDR GAR2015_EN,affordable and clean energy,33
ISDR GAR2015_EN,decent work and economic growth,367
ISDR GAR2015_EN,industry innowation and infrastructure,312
ISDR GAR2015_EN,reduced inequalities,40
ISDR GAR2015_EN,responsible consumption and production,105
ISDR GAR2015_EN,climate action,67
ISDR GAR2015_EN,life below water,10
ISDR GAR2015_EN,life on land,21
ISDR GAR2015_EN,piece justice and strong institutions,171
ISDR GAR2015_EN,partnership for the goals,28
OECD environmental outlook to 2050,no poverty,26
OECD environmental outlook to 2050,zero hunger,8
OECD environmental outlook to 2050,good health and well beeing,65
OECD environmental outlook to 2050,quality education,71
OECD environmental outlook to 2050,gender equality,2
OECD environmental outlook to 2050,clean water and sanitation,169
OECD environmental outlook to 2050,affordable and clean energy,37
OECD environmental outlook to 2050,decent work and economic growth,215
OECD environmental outlook to 2050,industry innowation and infrastructure,195
OECD environmental outlook to 2050,reduced inequalities,7
OECD environmental outlook to 2050,responsible consumption and production,90
OECD environmental outlook to 2050,climate action,114
OECD environmental outlook to 2050,life below water,43
OECD environmental outlook to 2050,life on land,64
OECD environmental outlook to 2050,piece justice and strong institutions,69
OECD environmental outlook to 2050,partnership for the goals,36
OECD industrial policies in a changing world,no poverty,84
OECD industrial policies in a changing world,zero hunger,0
OECD industrial policies in a changing world,good health and well beeing,10
OECD industrial policies in a changing world,quality education,357
OECD industrial policies in a changing world,gender equality,2
OECD industrial policies in a changing world,clean water and sanitation,7
OECD industrial policies in a changing world,affordable and clean energy,114
OECD industrial policies in a changing world,decent work and economic growth,677
OECD industrial policies in a changing world,industry innowation and infrastructure,698
OECD industrial policies in a changing world,reduced inequalities,9
OECD industrial policies in a changing world,responsible consumption and production,297
OECD industrial policies in a changing world,climate action,3
OECD industrial policies in a changing world,life below water,4
OECD industrial policies in a changing world,life on land,3
OECD industrial policies in a changing world,piece justice and strong institutions,151
OECD industrial policies in a changing world,partnership for the goals,80
UN Habitat prosperity cities,no poverty,104
UN Habitat prosperity cities,zero hunger,3
UN Habitat prosperity cities,good health and well beeing,35
UN Habitat prosperity cities,quality education,177
UN Habitat prosperity cities,gender equality,15
UN Habitat prosperity cities,clean water and sanitation,26
UN Habitat prosperity cities,affordable and clean energy,40
UN Habitat prosperity cities,decent work and economic growth,499
UN Habitat prosperity cities,industry innowation and infrastructure,247
UN Habitat prosperity cities,reduced inequalities,43
UN Habitat prosperity cities,responsible consumption and production,175
UN Habitat prosperity cities,climate action,13
UN Habitat prosperity cities,life below water,0
UN Habitat prosperity cities,life on land,1
UN Habitat prosperity cities,piece justice and strong institutions,150
UN Habitat prosperity cities,partnership for the goals,19
Un Habitat State of urban youth 2012 2013,no poverty,47
Un Habitat State of urban youth 2012 2013,zero hunger,1
Un Habitat State of urban youth 2012 2013,good health and well beeing,18
Un Habitat State of urban youth 2012 2013,quality education,95
Un Habitat State of urban youth 2012 2013,gender equality,11
Un Habitat State of urban youth 2012 2013,clean water and sanitation,12
Un Habitat State of urban youth 2012 2013,affordable and clean energy,18
Un Habitat State of urban youth 2012 2013,decent work and economic growth,170
Un Habitat State of urban youth 2012 2013,industry innowation and infrastructure,67
Un Habitat State of urban youth 2012 2013,reduced inequalities,16
Un Habitat State of urban youth 2012 2013,responsible consumption and production,34
Un Habitat State of urban youth 2012 2013,climate action,0
Un Habitat State of urban youth 2012 2013,life below water,1
Un Habitat State of urban youth 2012 2013,life on land,1
Un Habitat State of urban youth 2012 2013,piece justice and strong institutions,53
Un Habitat State of urban youth 2012 2013,partnership for the goals,9
Un Habitat Status of urban women 2013 ,no poverty,109
Un Habitat Status of urban women 2013 ,zero hunger,3
Un Habitat Status of urban women 2013 ,good health and well beeing,42
Un Habitat Status of urban women 2013 ,quality education,98
Un Habitat Status of urban women 2013 ,gender equality,159
Un Habitat Status of urban women 2013 ,clean water and sanitation,18
Un Habitat Status of urban women 2013 ,affordable and clean energy,10
Un Habitat Status of urban women 2013 ,decent work and economic growth,227
Un Habitat Status of urban women 2013 ,industry innowation and infrastructure,106
Un Habitat Status of urban women 2013 ,reduced inequalities,30
Un Habitat Status of urban women 2013 ,responsible consumption and production,53
Un Habitat Status of urban women 2013 ,climate action,0
Un Habitat Status of urban women 2013 ,life below water,1
Un Habitat Status of urban women 2013 ,life on land,0
Un Habitat Status of urban women 2013 ,piece justice and strong institutions,53
Un Habitat Status of urban women 2013 ,partnership for the goals,20
UN Habitatplanning and design for sustainable mobility 2013,no poverty,261
UN Habitatplanning and design for sustainable mobility 2013,zero hunger,5
UN Habitatplanning and design for sustainable mobility 2013,good health and well beeing,101
UN Habitatplanning and design for sustainable mobility 2013,quality education,431
UN Habitatplanning and design for sustainable mobility 2013,gender equality,30
UN Habitatplanning and design for sustainable mobility 2013,clean water and sanitation,37
UN Habitatplanning and design for sustainable mobility 2013,affordable and clean energy,72
UN Habitatplanning and design for sustainable mobility 2013,decent work and economic growth,621
UN Habitatplanning and design for sustainable mobility 2013,industry innowation and infrastructure,488
UN Habitatplanning and design for sustainable mobility 2013,reduced inequalities,20
UN Habitatplanning and design for sustainable mobility 2013,responsible consumption and production,199
UN Habitatplanning and design for sustainable mobility 2013,climate action,55
UN Habitatplanning and design for sustainable mobility 2013,life below water,3
UN Habitatplanning and design for sustainable mobility 2013,life on land,13
UN Habitatplanning and design for sustainable mobility 2013,piece justice and strong institutions,361
UN Habitatplanning and design for sustainable mobility 2013,partnership for the goals,66
UN-Habitat State of the World Cities  2010 2011- Cities for All Bridging the Urban Divide,no poverty,476
UN-Habitat State of the World Cities  2010 2011- Cities for All Bridging the Urban Divide,zero hunger,71
UN-Habitat State of the World Cities  2010 2011- Cities for All Bridging the Urban Divide,good health and well beeing,121
UN-Habitat State of the World Cities  2010 2011- Cities for All Bridging the Urban Divide,quality education,320
UN-Habitat State of the World Cities  2010 2011- Cities for All Bridging the Urban Divide,gender equality,66
UN-Habitat State of the World Cities  2010 2011- Cities for All Bridging the Urban Divide,clean water and sanitation,60
UN-Habitat State of the World Cities  2010 2011- Cities for All Bridging the Urban Divide,affordable and clean energy,24
UN-Habitat State of the World Cities  2010 2011- Cities for All Bridging the Urban Divide,decent work and economic growth,498
UN-Habitat State of the World Cities  2010 2011- Cities for All Bridging the Urban Divide,industry innowation and infrastructure,396
UN-Habitat State of the World Cities  2010 2011- Cities for All Bridging the Urban Divide,reduced inequalities,257
UN-Habitat State of the World Cities  2010 2011- Cities for All Bridging the Urban Divide,responsible consumption and production,147
UN-Habitat State of the World Cities  2010 2011- Cities for All Bridging the Urban Divide,climate action,10
UN-Habitat State of the World Cities  2010 2011- Cities for All Bridging the Urban Divide,life below water,6
UN-Habitat State of the World Cities  2010 2011- Cities for All Bridging the Urban Divide,life on land,9
UN-Habitat State of the World Cities  2010 2011- Cities for All Bridging the Urban Divide,piece justice and strong institutions,261
UN-Habitat State of the World Cities  2010 2011- Cities for All Bridging the Urban Divide,partnership for the goals,49
UNCTAD sceince techno for sust urbanization_en,no poverty,37
UNCTAD sceince techno for sust urbanization_en,zero hunger,5
UNCTAD sceince techno for sust urbanization_en,good health and well beeing,17
UNCTAD sceince techno for sust urbanization_en,quality education,39
UNCTAD sceince techno for sust urbanization_en,gender equality,1
UNCTAD sceince techno for sust urbanization_en,clean water and sanitation,31
UNCTAD sceince techno for sust urbanization_en,affordable and clean energy,146
UNCTAD sceince techno for sust urbanization_en,decent work and economic growth,102
UNCTAD sceince techno for sust urbanization_en,industry innowation and infrastructure,283
UNCTAD sceince techno for sust urbanization_en,reduced inequalities,4
UNCTAD sceince techno for sust urbanization_en,responsible consumption and production,53
UNCTAD sceince techno for sust urbanization_en,climate action,18
UNCTAD sceince techno for sust urbanization_en,life below water,9
UNCTAD sceince techno for sust urbanization_en,life on land,16
UNCTAD sceince techno for sust urbanization_en,piece justice and strong institutions,47
UNCTAD sceince techno for sust urbanization_en,partnership for the goals,40
UNDESA 2011wess,no poverty,106
UNDESA 2011wess,zero hunger,46
UNDESA 2011wess,good health and well beeing,15
UNDESA 2011wess,quality education,219
UNDESA 2011wess,gender equality,6
UNDESA 2011wess,clean water and sanitation,30
UNDESA 2011wess,affordable and clean energy,242
UNDESA 2011wess,decent work and economic growth,383
UNDESA 2011wess,industry innowation and infrastructure,597
UNDESA 2011wess,reduced inequalities,10
UNDESA 2011wess,responsible consumption and production,156
UNDESA 2011wess,climate action,71
UNDESA 2011wess,life below water,7
UNDESA 2011wess,life on land,89
UNDESA 2011wess,piece justice and strong institutions,103
UNDESA 2011wess,partnership for the goals,88
UNDESA WESS2013,no poverty,126
UNDESA WESS2013,zero hunger,59
UNDESA WESS2013,good health and well beeing,50
UNDESA WESS2013,quality education,150
UNDESA WESS2013,gender equality,7
UNDESA WESS2013,clean water and sanitation,40
UNDESA WESS2013,affordable and clean energy,95
UNDESA WESS2013,decent work and economic growth,348
UNDESA WESS2013,industry innowation and infrastructure,579
UNDESA WESS2013,reduced inequalities,44
UNDESA WESS2013,responsible consumption and production,191
UNDESA WESS2013,climate action,63
UNDESA WESS2013,life below water,5
UNDESA WESS2013,life on land,85
UNDESA WESS2013,piece justice and strong institutions,85
UNDESA WESS2013,partnership for the goals,61
UNEP GEO5_report_full_en,no poverty,134
UNEP GEO5_report_full_en,zero hunger,54
UNEP GEO5_report_full_en,good health and well beeing,80
UNEP GEO5_report_full_en,quality education,597
UNEP GEO5_report_full_en,gender equality,21
UNEP GEO5_report_full_en,clean water and sanitation,237
UNEP GEO5_report_full_en,affordable and clean energy,224
UNEP GEO5_report_full_en,decent work and economic growth,862
UNEP GEO5_report_full_en,industry innowation and infrastructure,759
UNEP GEO5_report_full_en,reduced inequalities,27
UNEP GEO5_report_full_en,responsible consumption and production,368
UNEP GEO5_report_full_en,climate action,241
UNEP GEO5_report_full_en,life below water,63
UNEP GEO5_report_full_en,life on land,172
UNEP GEO5_report_full_en,piece justice and strong institutions,302
UNEP GEO5_report_full_en,partnership for the goals,169
UNESCO education for all 2015,no poverty,421
UNESCO education for all 2015,zero hunger,10
UNESCO education for all 2015,good health and well beeing,82
UNESCO education for all 2015,quality education,1439
UNESCO education for all 2015,gender equality,235
UNESCO education for all 2015,clean water and sanitation,8
UNESCO education for all 2015,affordable and clean energy,30
UNESCO education for all 2015,decent work and economic growth,414
UNESCO education for all 2015,industry innowation and infrastructure,362
UNESCO education for all 2015,reduced inequalities,128
UNESCO education for all 2015,responsible consumption and production,140
UNESCO education for all 2015,climate action,3
UNESCO education for all 2015,life below water,0
UNESCO education for all 2015,life on land,3
UNESCO education for all 2015,piece justice and strong institutions,201
UNESCO education for all 2015,partnership for the goals,110
UNESCO EFA 2012 youth and skills,no poverty,44
UNESCO EFA 2012 youth and skills,zero hunger,0
UNESCO EFA 2012 youth and skills,good health and well beeing,1
UNESCO EFA 2012 youth and skills,quality education,98
UNESCO EFA 2012 youth and skills,gender equality,49
UNESCO EFA 2012 youth and skills,clean water and sanitation,0
UNESCO EFA 2012 youth and skills,affordable and clean energy,2
UNESCO EFA 2012 youth and skills,decent work and economic growth,28
UNESCO EFA 2012 youth and skills,industry innowation and infrastructure,21
UNESCO EFA 2012 youth and skills,reduced inequalities,16
UNESCO EFA 2012 youth and skills,responsible consumption and production,8
UNESCO EFA 2012 youth and skills,climate action,0
UNESCO EFA 2012 youth and skills,life below water,0
UNESCO EFA 2012 youth and skills,life on land,0
UNESCO EFA 2012 youth and skills,piece justice and strong institutions,13
UNESCO EFA 2012 youth and skills,partnership for the goals,5
UNESCO Science Report 2010,no poverty,123
UNESCO Science Report 2010,zero hunger,29
UNESCO Science Report 2010,good health and well beeing,89
UNESCO Science Report 2010,quality education,995
UNESCO Science Report 2010,gender equality,17
UNESCO Science Report 2010,clean water and sanitation,15
UNESCO Science Report 2010,affordable and clean energy,307
UNESCO Science Report 2010,decent work and economic growth,1109
UNESCO Science Report 2010,industry innowation and infrastructure,890
UNESCO Science Report 2010,reduced inequalities,28
UNESCO Science Report 2010,responsible consumption and production,251
UNESCO Science Report 2010,climate action,20
UNESCO Science Report 2010,life below water,11
UNESCO Science Report 2010,life on land,66
UNESCO Science Report 2010,piece justice and strong institutions,283
UNESCO Science Report 2010,partnership for the goals,178
UNIDO_IDR_2013_main_report,no poverty,65
UNIDO_IDR_2013_main_report,zero hunger,0
UNIDO_IDR_2013_main_report,good health and well beeing,11
UNIDO_IDR_2013_main_report,quality education,154
UNIDO_IDR_2013_main_report,gender equality,2
UNIDO_IDR_2013_main_report,clean water and sanitation,3
UNIDO_IDR_2013_main_report,affordable and clean energy,94
UNIDO_IDR_2013_main_report,decent work and economic growth,719
UNIDO_IDR_2013_main_report,industry innowation and infrastructure,776
UNIDO_IDR_2013_main_report,reduced inequalities,15
UNIDO_IDR_2013_main_report,responsible consumption and production,505
UNIDO_IDR_2013_main_report,climate action,13
UNIDO_IDR_2013_main_report,life below water,0
UNIDO_IDR_2013_main_report,life on land,26
UNIDO_IDR_2013_main_report,piece justice and strong institutions,82
UNIDO_IDR_2013_main_report,partnership for the goals,46
UNW_progressreport 2015 2016,no poverty,82
UNW_progressreport 2015 2016,zero hunger,6
UNW_progressreport 2015 2016,good health and well beeing,84
UNW_progressreport 2015 2016,quality education,245
UNW_progressreport 2015 2016,gender equality,169
UNW_progressreport 2015 2016,clean water and sanitation,26
UNW_progressreport 2015 2016,affordable and clean energy,8
UNW_progressreport 2015 2016,decent work and economic growth,350
UNW_progressreport 2015 2016,industry innowation and infrastructure,203
UNW_progressreport 2015 2016,reduced inequalities,44
UNW_progressreport 2015 2016,responsible consumption and production,70
UNW_progressreport 2015 2016,climate action,2
UNW_progressreport 2015 2016,life below water,0
UNW_progressreport 2015 2016,life on land,14
UNW_progressreport 2015 2016,piece justice and strong institutions,119
UNW_progressreport 2015 2016,partnership for the goals,51
WB environmental health and child survival,no poverty,45
WB environmental health and child survival,zero hunger,49
WB environmental health and child survival,good health and well beeing,232
WB environmental health and child survival,quality education,133
WB environmental health and child survival,gender equality,1
WB environmental health and child survival,clean water and sanitation,85
WB environmental health and child survival,affordable and clean energy,2
